區鄉,里村,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資收入,稿費收入
松山區,中崙里,1438,1908508,18195,61724,1266480,79649,104855,6169,2630,216249,1921,144362,520,5753,1580230,3793
松山區,自強里,3063,3843099,24690,111796,2889360,201094,60116,15388,8037,421738,19086,87315,3536,942,3529915,15384
松山區,鵬程里,1844,1975239,9356,58680,1503625,87323,47561,6418,2530,207747,18273,30393,823,2509,1898744,4791
松山區,東榮里,2864,4699275,15010,302684,2819500,218692,231312,29799,5397,961273,20704,75172,3393,16339,3385810,13156
松山區,介壽里,1545,2046183,11023,62523,1337531,96011,105847,9794,1843,359302,9010,50393,303,2602,1649270,3417
松山區,東勢里,1589,2381151,19189,41520,1285299,106948,152921,5356,3406,733672,7524,23352,304,1660,1593346,4838
松山區,東光里,2531,2995346,14721,64367,1867665,159690,177436,12275,4335,621607,5995,51116,1971,14168,2347264,8550
松山區,中正里,3475,6346620,40555,164365,3452514,213915,421795,31642,6139,1796577,28719,136945,2620,50833,4182331,13793
松山區,復盛里,2178,2063085,16243,59331,1378743,109195,67376,8401,2994,374956,9061,31219,1368,4198,1814334,6352
松山區,復勢里,2340,2698479,15432,65199,1812197,151495,161560,5436,5271,390309,0,49114,1266,41200,2287274,5367
松山區,美仁里,1240,1566381,10410,41922,1011464,76496,115519,9221,2270,251979,4638,19838,62,22560,1263669,2375
松山區,吉仁里,1426,1733586,9104,60423,1116954,86039,89444,11617,2406,296224,23314,25748,3101,9211,1406617,7480
松山區,精忠里,1572,3319732,22826,145439,1510553,123581,125400,8430,2871,1315070,15244,33557,9612,7150,1823752,16849
松山區,東昌里,937,3848361,3384,42186,794849,98618,60270,6827,1263,2802887,2060,27852,590,7575,980875,3032
松山區,福成里,928,1752291,24947,57999,780876,66978,74528,5712,4374,713057,0,20344,773,2703,957249,3851
松山區,中華里,2323,6577126,16217,134212,2528096,188975,185416,11423,3432,3333232,25703,129193,2263,18965,3005692,10610
松山區,吉祥里,3075,3575722,32132,99308,2199399,166405,161693,21411,3048,823188,15067,50014,126,3932,2808515,5205
松山區,新東里,1744,1732442,15470,51866,1207441,87084,63252,6587,3160,251626,4905,36092,1271,3687,1563518,5374
松山區,三民里,2438,2944426,26799,59924,1889290,147452,115607,8929,3560,605034,2806,68134,1697,15196,2366787,8903
松山區,復建里,1631,1996607,16815,54181,1373305,102244,93125,16379,2531,290902,5606,37835,171,3514,1717163,3233
松山區,敦化里,2435,3479761,25419,82637,1978355,160967,237560,17206,2854,895022,11774,52800,1064,14102,2485044,6978
松山區,安平里,2947,2562196,25504,81354,1836481,120985,105935,10023,4349,319286,3040,41758,1811,11671,2438169,8534
松山區,富錦里,1810,2445307,8983,50713,1407928,107285,88517,10064,2528,700031,13557,25445,838,29419,1779749,4592
松山區,莊敬里,1613,1361477,12345,34987,1050137,59044,38768,1723,1730,107014,32118,20833,244,2534,1404448,2972
松山區,新益里,1634,1514178,11170,37633,1100432,76593,37129,2278,2264,212125,6759,20705,716,6376,1445412,4169
松山區,富泰里,1647,1846062,12608,40290,1352219,88528,51596,4991,2538,263246,1644,23999,935,3468,1671802,6725
松山區,龍田里,3580,5014625,30414,162373,3815607,245879,111120,15287,8689,510953,19689,87464,2371,4779,4610210,12738
松山區,慈祐里,2472,1978219,28815,55263,1388455,78330,134262,11619,4371,228736,3465,34717,1033,9154,1880842,4600
